date,Artificial Intelligence,Climate Change,Technology,isPartial
2024-12-31 16:56:00,6,3,42,False
2024-12-31 17:04:00,6,0,45,False
2024-12-31 17:12:00,6,0,45,False
2024-12-31 17:20:00,5,3,41,False
2024-12-31 17:28:00,7,0,40,False
2024-12-31 17:36:00,8,0,46,False
2024-12-31 17:44:00,5,0,37,False
2024-12-31 17:52:00,5,0,37,False
2024-12-31 18:00:00,8,0,39,False
2024-12-31 18:08:00,4,0,41,False
2024-12-31 18:16:00,4,0,30,False
2024-12-31 18:24:00,7,3,26,False
2024-12-31 18:32:00,4,0,23,False
2024-12-31 18:40:00,4,0,23,False
2024-12-31 18:48:00,5,0,31,False
2024-12-31 18:56:00,5,0,26,False
2024-12-31 19:04:00,5,0,22,False
2024-12-31 19:12:00,0,0,33,False
2024-12-31 19:20:00,5,0,39,False
2024-12-31 19:28:00,9,0,33,False
2024-12-31 19:36:00,0,0,35,False
2024-12-31 19:44:00,0,0,31,False
2024-12-31 19:52:00,7,0,29,False
2024-12-31 20:00:00,0,0,28,False
2024-12-31 20:08:00,0,0,26,False
2024-12-31 20:16:00,0,0,31,False
2024-12-31 20:24:00,0,0,31,False
2024-12-31 20:32:00,0,0,30,False
2024-12-31 20:40:00,0,0,39,False
2024-12-31 20:48:00,0,0,33,False
2024-12-31 20:56:00,0,0,42,False
2024-12-31 21:04:00,0,0,25,False
2024-12-31 21:12:00,0,0,30,False
2024-12-31 21:20:00,0,0,20,False
2024-12-31 21:28:00,0,0,27,False
2024-12-31 21:36:00,0,0,24,False
2024-12-31 21:44:00,0,0,32,False
2024-12-31 21:52:00,0,0,31,False
2024-12-31 22:00:00,0,0,30,False
2024-12-31 22:08:00,0,0,25,False
2024-12-31 22:16:00,0,0,27,False
2024-12-31 22:24:00,0,0,32,False
2024-12-31 22:32:00,19,0,27,False
2024-12-31 22:40:00,0,0,23,False
2024-12-31 22:48:00,0,0,30,False
2024-12-31 22:56:00,0,0,33,False
2024-12-31 23:04:00,0,0,33,False
2024-12-31 23:12:00,0,0,23,False
2024-12-31 23:20:00,0,0,27,False
2024-12-31 23:28:00,0,0,20,False
2024-12-31 23:36:00,0,0,29,False
2024-12-31 23:44:00,0,0,29,False
2024-12-31 23:52:00,0,0,30,False
2025-01-01 00:00:00,0,0,37,False
2025-01-01 00:08:00,0,0,35,False
2025-01-01 00:16:00,0,0,25,False
2025-01-01 00:24:00,0,0,20,False
2025-01-01 00:32:00,0,0,25,False
2025-01-01 00:40:00,0,0,19,False
2025-01-01 00:48:00,0,0,30,False
2025-01-01 00:56:00,0,0,21,False
2025-01-01 01:04:00,0,0,19,False
2025-01-01 01:12:00,0,0,30,False
2025-01-01 01:20:00,0,0,21,False
2025-01-01 01:28:00,0,0,19,False
2025-01-01 01:36:00,0,0,26,False
2025-01-01 01:44:00,0,0,23,False
2025-01-01 01:52:00,0,0,27,False
2025-01-01 02:00:00,6,0,27,False
2025-01-01 02:08:00,5,0,29,False
2025-01-01 02:16:00,5,0,34,False
2025-01-01 02:24:00,5,0,29,False
2025-01-01 02:32:00,5,0,29,False
2025-01-01 02:40:00,5,0,37,False
2025-01-01 02:48:00,7,0,44,False
2025-01-01 02:56:00,5,0,42,False
2025-01-01 03:04:00,5,0,41,False
2025-01-01 03:12:00,8,4,39,False
2025-01-01 03:20:00,0,0,37,False
2025-01-01 03:28:00,7,0,51,False
2025-01-01 03:36:00,5,4,51,False
2025-01-01 03:44:00,7,4,59,False
2025-01-01 03:52:00,9,5,66,False
2025-01-01 04:00:00,6,4,62,False
2025-01-01 04:08:00,6,0,64,False
2025-01-01 04:16:00,7,4,61,False
2025-01-01 04:24:00,6,0,67,False
2025-01-01 04:32:00,5,3,69,False
2025-01-01 04:40:00,4,4,65,False
2025-01-01 04:48:00,8,4,67,False
2025-01-01 04:56:00,8,5,68,False
2025-01-01 05:04:00,7,6,76,False
2025-01-01 05:12:00,7,3,68,False
2025-01-01 05:20:00,8,3,69,False
2025-01-01 05:28:00,10,3,75,False
2025-01-01 05:36:00,7,5,61,False
2025-01-01 05:44:00,9,4,75,False
2025-01-01 05:52:00,7,6,77,False
2025-01-01 06:00:00,7,6,83,False
2025-01-01 06:08:00,10,4,75,False
2025-01-01 06:16:00,7,5,73,False
2025-01-01 06:24:00,9,5,81,False
2025-01-01 06:32:00,8,7,76,False
2025-01-01 06:40:00,9,4,79,False
2025-01-01 06:48:00,5,4,75,False
2025-01-01 06:56:00,9,5,76,False
2025-01-01 07:04:00,9,9,87,True
